1, -0.1238, -0.1423, -0.2884, 0.081, -0.2884, 0.2566, 0.2837, -0.2266, -0.0038, -0.0473, 0.0232, 0.0038, -0.3306, 0.0673, -0.0975, -0.3196, 0.0405
-0.1238, 1, 0.2865, 0.0918, 0.2017, 0.2267, 0.1345, -0.2306, 0.1628, 0.0918, -0.2978, 0.189, -0.2267, -0.2143, 0.007, 0.0462, 0.2392, 0.4035
-0.1423, 0.2865, 1, 0.1196, -0.0456, 0.1196, 0.1976, -0.2736, -0.0237, 0.1196, -0.3154, -0.3157, -0.0128, -0.0947, -0.1349, 0.2329, -0.0644, 0.0456
-0.2884, 0.0918, 0.1196, 1, 0.0702, 0.4518, -0.0312, -0.1639, 0.0432, -0.2061, -0.3239, -0.1414, 0.0965, -0.1537, 0.0038, -0.0079, 0.2007, 0
0.081, 0.2017, -0.0456, 0.0702, 1, 0.3044, 0, 0.125, 0.0865, 0.0702, -0.1667, 0.026, -0.0702, 0.1448, -0.2837, -0.0422, 0.0456, 0.4
-0.2884, 0.2267, 0.1196, 0.4518, 0.3044, 1, -0.0312, -0.0468, 0.0432, -0.0965, -0.2263, -0.0195, 0.2061, -0.0407, -0.0911, 0.1898, -0.0128, 0.281
0.2566, 0.1345, 0.1976, -0.0312, 0, -0.0312, 1, 0.1667, -0.1345, -0.0312, -0.1111, -0.1562, -0.281, -0.1448, -0.2566, -0.2392, -0.0456, -0.0667
0.2837, -0.2306, -0.2736, -0.1639, 0.125, -0.0468, 0.1667, 1, 0.2306, -0.1639, -0.0625, 0.026, 0.281, 0.0241, 0.0203, -0.1478, -0.2964, -0.1
-0.2266, 0.1628, -0.0237, 0.0432, 0.0865, 0.0432, -0.1345, 0.2306, 1, 0.0432, 0.0576, -0.039, 0.2267, -0.064, -0.007, 0.0754, 0.0237, -0.0576
-0.0038, 0.0918, 0.1196, -0.2061, 0.0702, -0.0965, -0.0312, -0.1639, 0.0432, 1, -0.0312, -0.2633, -0.1228, -0.1537, -0.0911, -0.2056, -0.0128, 0
-0.0473, -0.2978, -0.3154, -0.3239, -0.1667, -0.2263, -0.1111, -0.0625, 0.0576, -0.0312, 1, 0.1909, 0.1288, -0.004, 0.1317, -0.0106, 0.0304, -0.1667
0.0232, 0.189, -0.3157, -0.1414, 0.026, -0.0195, -0.1562, 0.026, -0.039, -0.2633, 0.1909, 1, -0.1024, 0.1232, 0.1877, -0.0066, 0.197, 0.3644
0.0038, -0.2267, -0.0128, 0.0965, -0.0702, 0.2061, -0.281, 0.281, 0.2267, -0.1228, 0.1288, -0.1024, 1, -0.1854, 0.0911, 0.3045, -0.2007, -0.1873
-0.3306, -0.2143, -0.0947, -0.1537, 0.1448, -0.0407, -0.1448, 0.0241, -0.064, -0.1537, -0.004, 0.1232, -0.1854, 1, -0.1585, -0.1284, 0.0947, 0.0483
0.0673, 0.007, -0.1349, 0.0038, -0.2837, -0.0911, -0.2566, 0.0203, -0.007, -0.0911, 0.1317, 0.1877, 0.0911, -0.1585, 1, 0.012, -0.1423, 0.0405
-0.0975, 0.0462, 0.2329, -0.0079, -0.0422, 0.1898, -0.2392, -0.1478, 0.0754, -0.2056, -0.0106, -0.0066, 0.3045, -0.1284, 0.012, 1, -0.1367, -0.0422
-0.3196, 0.2392, -0.0644, 0.2007, 0.0456, -0.0128, -0.0456, -0.2964, 0.0237, -0.0128, 0.0304, 0.197, -0.2007, 0.0947, -0.1423, -0.1367, 1, -0.0456
0.0405, 0.4035, 0.0456, 0, 0.4, 0.281, -0.0667, -0.1, -0.0576, 0, -0.1667, 0.3644, -0.1873, 0.0483, 0.0405, -0.0422, -0.0456, 1
